User, Item, Rating, daytime:evening, daytime:night, daytime:afternoon, daytime:morning
83,552,1,0,1,0,0
51,3714,1,0,0,1,0
328,2938,1,0,0,0,1
264,5048,1,0,1,0,0
82,6302,1,1,0,0,0
181,4653,1,0,1,0,0
87,478,1,0,1,0,0
249,5555,1,0,1,0,0
233,4617,1,0,0,0,1
6,4672,1,0,1,0,0
95,4160,1,0,1,0,0
82,1983,1,0,0,0,1
18,3560,1,1,0,0,0
253,4402,1,0,1,0,0
13,7083,1,1,0,0,0
184,1245,1,0,0,1,0
66,933,1,1,0,0,0
275,3386,1,1,0,0,0
217,5415,1,0,0,1,0
33,114,1,0,0,1,0
130,2868,1,0,1,0,0
43,3621,1,0,1,0,0
32,356,1,0,0,0,1
316,6665,1,0,0,0,1
318,526,1,0,1,0,0
230,6061,1,0,0,1,0
62,3375,1,0,1,0,0
101,1958,1,0,1,0,0
284,2671,1,0,0,1,0
268,396,1,0,0,0,1
68,2338,1,1,0,0,0
123,5115,1,1,0,0,0
25,3357,1,1,0,0,0
242,3069,1,0,0,0,1
284,1019,1,0,1,0,0
213,2279,1,0,1,0,0
278,3119,1,1,0,0,0
194,6361,1,1,0,0,0
178,6571,1,0,1,0,0
30,2501,1,0,0,1,0
26,1017,1,0,0,0,1
119,2056,1,1,0,0,0
113,83,1,1,0,0,0
18,3957,1,1,0,0,0
133,4114,1,0,0,0,1
33,1481,1,1,0,0,0
55,1219,1,0,1,0,0
100,3208,1,0,0,1,0
154,955,1,0,0,0,1
305,4847,1,0,0,1,0
45,3992,1,1,0,0,0
211,132,1,0,0,1,0
234,6848,1,0,1,0,0
280,1942,1,0,1,0,0
194,3866,1,0,0,1,0
221,1267,1,1,0,0,0
221,705,1,0,0,1,0
65,5017,1,0,1,0,0
128,5699,1,1,0,0,0
221,3424,1,0,0,1,0
328,4596,1,1,0,0,0
261,38,1,0,0,0,1
202,442,1,0,0,1,0
78,5548,1,1,0,0,0
221,1518,1,1,0,0,0
45,4246,1,0,0,0,1
268,3505,1,0,1,0,0
298,4952,1,0,0,0,1
309,4377,1,0,1,0,0
29,109,1,0,0,0,1
222,4061,1,1,0,0,0
305,328,1,0,0,0,1
18,241,1,0,1,0,0
49,333,1,0,0,0,1
242,104,1,0,1,0,0
163,3774,1,0,1,0,0
77,4995,1,0,1,0,0
43,2782,1,1,0,0,0
82,3806,1,0,0,0,1
6,3749,1,0,0,1,0
16,5639,1,0,0,1,0
71,6141,1,0,0,0,1
131,2650,1,0,0,1,0
285,2384,1,0,0,0,1
269,3432,1,0,0,1,0
306,2471,1,0,1,0,0
26,2085,1,0,0,1,0
20,3503,1,1,0,0,0
171,2178,1,0,0,0,1
220,2992,1,0,1,0,0
138,3962,1,0,0,1,0
258,6894,1,1,0,0,0
66,3037,1,0,0,1,0
159,243,1,1,0,0,0
100,5595,1,0,0,0,1
40,3804,1,0,1,0,0
40,4288,1,0,0,0,1
234,2388,1,0,1,0,0
20,1346,1,1,0,0,0
169,4644,1,0,0,0,1
169,2487,1,1,0,0,0
210,1356,1,1,0,0,0
143,5895,1,0,0,0,1
284,7136,1,1,0,0,0
43,3372,1,1,0,0,0
117,3484,1,0,0,0,1
32,5764,1,1,0,0,0
260,4282,1,0,0,1,0
22,393,1,1,0,0,0
98,284,1,0,0,1,0
2,1666,1,0,0,1,0
172,4632,1,0,1,0,0
81,3259,1,0,1,0,0
233,164,1,0,0,0,1
6,339,1,1,0,0,0
288,2118,1,1,0,0,0
316,742,1,0,0,1,0
1,905,1,0,0,0,1
20,2913,1,1,0,0,0
16,975,1,1,0,0,0
6,5656,1,1,0,0,0
218,6197,1,0,0,0,1
41,2809,1,0,0,0,1
280,2280,1,0,0,1,0
305,1954,1,0,0,1,0
306,565,1,0,0,0,1
109,6902,1,0,0,0,1
305,3861,1,1,0,0,0
18,637,1,1,0,0,0
244,3293,1,1,0,0,0
9,2833,1,0,1,0,0
125,7059,1,0,0,0,1
320,2620,1,0,0,0,1
295,1514,1,0,1,0,0
165,428,1,0,0,0,1
62,3625,1,0,0,1,0
284,3906,1,1,0,0,0
313,591,1,1,0,0,0
331,366,1,0,0,0,1
299,1045,1,0,0,0,1
255,5027,1,0,1,0,0
125,397,1,0,0,0,1
326,6253,1,0,0,1,0
305,6899,1,1,0,0,0
26,3904,1,0,0,0,1
178,375,1,0,0,1,0
82,7038,1,1,0,0,0
2,4162,1,0,1,0,0
233,1726,1,1,0,0,0
270,2942,1,0,1,0,0
61,7143,1,1,0,0,0
316,2455,1,0,0,0,1
87,1211,1,1,0,0,0
194,1563,1,0,1,0,0
264,1172,1,0,0,0,1
169,5961,1,0,0,1,0
243,2991,1,0,1,0,0
1,1739,1,1,0,0,0
185,3596,1,0,0,1,0
243,4565,1,0,0,1,0
80,5969,1,0,0,0,1
50,3897,1,0,0,1,0
121,841,1,0,0,1,0
117,1181,1,0,0,0,1
3,3535,1,0,0,1,0
295,4405,1,1,0,0,0
101,367,1,0,0,0,1
171,2032,1,0,0,1,0
45,3908,1,0,1,0,0
20,4237,1,0,0,1,0
231,4727,1,0,0,1,0
119,2787,1,1,0,0,0
82,2239,1,1,0,0,0
154,4738,1,0,0,0,1
169,5378,1,1,0,0,0
284,1499,1,0,0,0,1
272,1265,1,0,0,0,1
19,875,1,0,0,1,0
82,5464,1,0,0,0,1
174,3935,1,0,1,0,0
228,3419,1,0,0,0,1
159,974,1,0,1,0,0
225,2617,1,1,0,0,0
161,3404,1,0,1,0,0
264,2156,1,1,0,0,0
221,4134,1,1,0,0,0
184,4137,1,0,0,0,1
66,2051,1,1,0,0,0
41,2893,1,0,0,0,1
203,680,1,1,0,0,0
288,5343,1,1,0,0,0
223,1011,1,0,0,0,1
221,2836,1,1,0,0,0
165,4133,1,0,0,1,0
301,2033,1,0,1,0,0
274,183,1,0,0,1,0
263,232,1,0,0,1,0
57,1589,1,0,1,0,0
149,797,1,1,0,0,0
262,474,1,0,0,1,0
62,5679,1,0,1,0,0
30,239,1,0,1,0,0
143,2524,1,0,1,0,0
262,4173,1,0,0,1,0
157,3570,1,0,0,1,0
48,3330,1,0,1,0,0
309,5946,1,0,1,0,0
43,2448,1,0,1,0,0
62,5283,1,0,1,0,0
194,3720,1,0,1,0,0
284,756,1,0,0,1,0
285,1650,1,1,0,0,0
292,4671,1,0,0,1,0
48,705,1,0,0,0,1
9,215,1,0,0,0,1
194,486,1,0,0,1,0
283,852,1,0,1,0,0
284,45,1,0,0,0,1
250,5069,1,1,0,0,0
149,1236,1,0,0,0,1
285,3224,1,0,0,0,1
59,2797,1,0,0,0,1
148,891,1,1,0,0,0
6,3499,1,1,0,0,0
257,564,1,0,0,1,0
324,6029,1,0,0,1,0
284,2337,1,0,0,0,1
176,2866,1,0,0,1,0
298,14,1,1,0,0,0
42,1417,1,0,1,0,0
137,606,1,0,0,0,1
165,3939,1,0,0,0,1
48,2740,1,1,0,0,0
146,6219,1,1,0,0,0
309,3309,1,0,1,0,0
55,2536,1,0,1,0,0
184,2563,1,0,0,1,0
88,3588,1,0,0,0,1
243,3975,1,0,0,0,1
222,4457,1,0,0,1,0
5,1878,1,0,0,1,0
128,1008,1,0,0,1,0
257,3344,1,0,1,0,0
280,1212,1,1,0,0,0
75,621,1,0,0,0,1
326,456,1,0,1,0,0
33,4372,1,0,1,0,0
204,1919,1,0,0,1,0
200,3066,1,0,0,1,0
150,1336,1,0,1,0,0
19,5790,1,0,1,0,0
284,3990,1,0,0,1,0
316,4612,1,0,0,1,0
288,140,1,0,0,1,0
20,5890,1,0,1,0,0
236,2528,1,0,0,1,0
209,5109,1,0,0,0,1
102,125,1,0,0,1,0
19,3549,1,1,0,0,0
194,340,1,0,1,0,0
212,5707,1,0,0,0,1
13,3853,1,0,1,0,0
104,3719,1,0,0,0,1
331,2927,1,0,0,1,0
223,4634,1,0,1,0,0
221,2440,1,0,0,0,1
42,2005,1,1,0,0,0
178,5252,1,0,0,0,1
264,2010,1,0,0,1,0
305,911,1,1,0,0,0
231,1190,1,0,0,0,1
263,2228,1,0,1,0,0
92,3753,1,0,1,0,0
62,2308,1,0,0,1,0
43,1713,1,0,1,0,0
184,1246,1,0,1,0,0
174,6825,1,0,0,0,1
263,7027,1,0,1,0,0
7,4994,1,1,0,0,0
284,362,1,0,0,0,1
92,6251,1,0,0,0,1
57,909,1,0,1,0,0
306,1151,1,0,0,0,1
278,1547,1,0,0,0,1
2,2505,1,0,0,0,1
128,2078,1,0,1,0,0
210,624,1,0,0,1,0
329,692,1,0,0,1,0
171,4920,1,0,1,0,0
143,1936,1,0,0,1,0
278,1151,1,0,1,0,0
278,3848,1,0,0,1,0
56,4490,1,0,0,1,0
293,6423,1,1,0,0,0
284,758,1,0,0,0,1
128,1341,1,0,0,0,1
117,2165,1,0,1,0,0
268,4575,1,0,0,1,0
258,2934,1,1,0,0,0
221,7024,1,0,0,0,1
258,3273,1,1,0,0,0
253,2580,1,0,0,1,0
41,5783,1,1,0,0,0
210,4951,1,0,1,0,0
161,4137,1,0,1,0,0
109,3762,1,0,0,0,1
221,2105,1,0,0,1,0
172,1156,1,0,0,1,0
283,4902,1,1,0,0,0
128,6140,1,1,0,0,0
38,3157,1,0,0,1,0
316,3042,1,0,1,0,0
159,6354,1,0,1,0,0
167,173,1,0,0,0,1
29,2298,1,0,0,0,1
330,3088,1,0,0,1,0
288,2847,1,1,0,0,0
305,660,1,0,0,1,0
51,4302,1,0,0,0,1
115,6127,1,0,1,0,0
148,4284,1,0,1,0,0
281,1534,1,0,0,1,0
202,7166,1,0,1,0,0
286,1242,1,0,0,0,1
305,6023,1,1,0,0,0
200,327,1,0,1,0,0
183,6118,1,0,0,0,1
250,1194,1,1,0,0,0
276,1990,1,0,1,0,0
62,4215,1,1,0,0,0
52,1006,1,0,1,0,0
194,3137,1,1,0,0,0
154,1725,1,0,0,1,0
42,1166,1,0,1,0,0
278,942,1,0,1,0,0
228,1117,1,0,1,0,0
278,4187,1,0,0,1,0
174,4274,1,0,0,1,0
43,1463,1,1,0,0,0
280,3266,1,0,0,1,0
240,1854,1,0,1,0,0
172,3795,1,0,1,0,0
185,317,1,0,1,0,0
174,1380,1,1,0,0,0
316,1137,1,0,1,0,0
198,2291,1,1,0,0,0
42,1896,1,0,0,0,1
268,1931,1,0,1,0,0
262,3835,1,0,0,1,0
262,1926,1,0,0,0,1
26,423,1,1,0,0,0
333,3885,1,0,0,1,0
261,6298,1,0,0,1,0
112,6669,1,0,0,1,0
157,100,1,0,0,1,0
141,5274,1,1,0,0,0
22,3874,1,1,0,0,0
42,4394,1,0,0,0,1
257,6821,1,0,0,0,1
124,1680,1,0,1,0,0
329,1270,1,0,0,1,0
249,383,1,0,0,1,0
210,5206,1,0,1,0,0
235,412,1,0,0,0,1
250,6639,1,1,0,0,0
262,6475,1,0,1,0,0
210,3385,1,0,1,0,0
288,2451,1,1,0,0,0
302,2477,1,0,0,1,0
328,5829,1,0,0,0,1
66,684,1,0,1,0,0
270,5106,1,0,0,1,0
204,1525,1,0,0,1,0
22,2949,1,0,1,0,0
24,2444,1,0,0,0,1
18,4294,1,0,1,0,0
181,2351,1,0,0,0,1
202,5595,1,0,1,0,0
262,725,1,1,0,0,0
32,605,1,0,0,0,1
225,1383,1,0,0,0,1
256,2794,1,0,0,0,1
149,5300,1,0,0,1,0
250,2429,1,1,0,0,0
82,5859,1,0,0,1,0
290,5767,1,0,0,0,1
331,1212,1,0,1,0,0
41,2411,1,0,1,0,0
316,5097,1,1,0,0,0
62,2392,1,0,0,1,0
82,1502,1,0,0,1,0
44,5121,1,0,1,0,0
249,5160,1,1,0,0,0
18,389,1,1,0,0,0
305,3863,1,0,0,0,1
62,2788,1,1,0,0,0
329,4162,1,0,0,1,0
316,7252,1,1,0,0,0
315,503,1,0,1,0,0
329,608,1,0,0,1,0
65,1535,1,1,0,0,0
76,4671,1,1,0,0,0
123,4525,1,0,0,0,1
101,7097,1,0,1,0,0
242,4972,1,0,1,0,0
60,1577,1,0,0,1,0
116,6054,1,1,0,0,0
326,5689,1,0,1,0,0
66,7102,1,0,0,1,0
270,1625,1,0,0,0,1
171,5903,1,0,0,1,0
1,3500,1,0,0,0,1
25,6101,1,0,1,0,0
68,2087,1,0,1,0,0
30,1914,1,1,0,0,0
326,791,1,0,0,0,1
284,5812,1,0,0,1,0
66,3767,1,1,0,0,0
263,4137,1,0,0,0,1
332,519,1,0,0,0,1
223,570,1,0,1,0,0
41,2557,1,0,0,1,0
22,2803,1,0,0,1,0
320,679,1,0,0,1,0
253,4547,1,0,0,1,0
84,5379,1,0,1,0,0
101,2402,1,0,1,0,0
221,703,1,1,0,0,0
50,4005,1,1,0,0,0
106,2986,1,0,1,0,0
220,2908,1,1,0,0,0
284,3261,1,0,1,0,0
309,1005,1,1,0,0,0
257,2027,1,0,1,0,0
32,1554,1,0,1,0,0
148,163,1,1,0,0,0
270,5586,1,0,1,0,0
95,3571,1,1,0,0,0
62,3230,1,0,0,0,1
101,1561,1,0,0,0,1
62,1931,1,0,0,1,0
284,1018,1,0,1,0,0
19,6047,1,1,0,0,0
320,2372,1,0,0,1,0
284,6400,1,0,0,0,1
197,1775,1,0,0,0,1
32,2143,1,1,0,0,0
89,1711,1,1,0,0,0
290,4300,1,0,1,0,0
277,5182,1,1,0,0,0
285,5277,1,1,0,0,0
45,6549,1,0,0,0,1
316,3438,1,0,1,0,0
84,1419,1,0,0,1,0
208,3967,1,0,0,1,0
333,4080,1,0,0,1,0
156,5578,1,1,0,0,0
141,1796,1,1,0,0,0
30,574,1,0,0,0,1
240,442,1,0,0,1,0
172,5368,1,0,0,1,0
284,3657,1,0,0,1,0
186,6665,1,1,0,0,0
210,6131,1,0,0,0,1
284,4246,1,0,0,0,1
107,5193,1,0,0,1,0
186,3438,1,0,1,0,0
286,4720,1,0,0,0,1
83,4468,1,1,0,0,0
262,2514,1,0,1,0,0
28,5598,1,0,0,0,1
309,4628,1,0,1,0,0
66,2300,1,1,0,0,0
22,4858,1,0,1,0,0
221,6186,1,0,0,0,1
20,6289,1,0,0,0,1
280,100,1,1,0,0,0
26,1350,1,0,0,1,0
40,287,1,1,0,0,0
125,396,1,1,0,0,0
284,3991,1,0,0,1,0
87,1356,1,1,0,0,0
270,2943,1,0,0,1,0
6,6247,1,0,0,1,0
239,1755,1,0,0,0,1
173,942,1,0,1,0,0
221,3819,1,1,0,0,0
265,6543,1,0,0,0,1
258,2205,1,0,1,0,0
305,2295,1,0,1,0,0
62,5282,1,0,0,0,1
40,4143,1,0,1,0,0
88,4427,1,0,0,0,1
115,2395,1,0,0,1,0
36,3121,1,0,0,1,0
19,1832,1,0,1,0,0
323,4407,1,0,0,0,1
68,1748,1,0,1,0,0
253,1908,1,1,0,0,0
233,163,1,1,0,0,0
285,4542,1,1,0,0,0
4,2000,1,0,0,0,1
84,705,1,0,1,0,0
59,2652,1,0,0,1,0
282,3767,1,1,0,0,0
186,5344,1,0,0,1,0
184,162,1,0,0,1,0
62,5928,1,0,0,1,0
62,173,1,0,0,0,1
284,6401,1,1,0,0,0
1,2911,1,1,0,0,0
305,4596,1,1,0,0,0
4,280,1,0,0,1,0
37,4298,1,0,0,1,0
197,5257,1,0,0,1,0
148,3217,1,1,0,0,0
79,5330,1,1,0,0,0
6,1195,1,0,1,0,0
17,1082,1,0,1,0,0
331,4586,1,0,0,0,1
221,6040,1,0,0,1,0
43,439,1,0,1,0,0
250,3016,1,0,0,1,0
192,2905,1,0,1,0,0
68,3908,1,0,0,0,1
76,6100,1,1,0,0,0
223,2080,1,0,0,0,1
154,5077,1,0,0,0,1
45,2338,1,0,0,1,0
171,4087,1,1,0,0,0
13,1697,1,0,0,0,1
270,656,1,0,0,1,0
131,2795,1,0,0,0,1
208,363,1,0,0,1,0
20,6143,1,0,1,0,0
6,6101,1,0,0,1,0
234,4544,1,0,0,1,0
172,1490,1,1,0,0,0
9,1992,1,0,1,0,0
181,2350,1,0,0,0,1
265,2082,1,0,0,0,1
38,3741,1,1,0,0,0
211,131,1,0,1,0,0
331,5174,1,0,0,0,1
48,456,1,1,0,0,0
193,1265,1,0,0,1,0
278,358,1,0,1,0,0
68,930,1,0,1,0,0
44,3946,1,0,0,1,0
331,2280,1,1,0,0,0
316,4363,1,0,0,1,0
6,5655,1,1,0,0,0
20,1095,1,0,0,1,0
257,1773,1,0,1,0,0
306,420,1,1,0,0,0
212,620,1,0,0,0,1
323,1851,1,0,1,0,0
305,1953,1,0,0,0,1
18,2389,1,1,0,0,0
321,4996,1,0,0,1,0
165,6807,1,0,0,1,0
38,2424,1,0,0,1,0
17,1332,1,0,1,0,0
156,2934,1,1,0,0,0
41,2894,1,0,1,0,0
302,4049,1,0,0,0,1
263,377,1,0,0,1,0
178,56,1,1,0,0,0
81,3844,1,1,0,0,0
186,4610,1,0,0,0,1
66,2196,1,1,0,0,0
13,3852,1,0,0,0,1
278,4041,1,1,0,0,0
143,1687,1,0,0,1,0
1,1344,1,0,0,0,1
69,832,1,0,0,1,0
256,1726,1,0,1,0,0
270,510,1,0,0,1,0
308,958,1,1,0,0,0
33,4767,1,1,0,0,0
38,279,1,0,1,0,0
143,2525,1,0,0,0,1
268,6001,1,0,0,1,0
143,4826,1,0,0,0,1
221,5848,1,1,0,0,0
68,347,1,1,0,0,0
66,86,1,1,0,0,0
80,3271,1,0,1,0,0
159,6499,1,0,1,0,0
6,672,1,0,1,0,0
184,1976,1,0,0,1,0
62,2059,1,0,0,0,1
243,6138,1,0,0,0,1
198,5184,1,0,0,0,1
44,4284,1,0,1,0,0
280,3996,1,0,0,0,1
299,3931,1,1,0,0,0
18,5528,1,0,1,0,0
150,4958,1,0,1,0,0
284,1498,1,0,0,1,0
20,3254,1,0,0,0,1
284,2336,1,1,0,0,0
22,6034,1,1,0,0,0
18,2639,1,1,0,0,0
103,6250,1,1,0,0,0
333,1583,1,0,0,0,1
40,141,1,1,0,0,0
83,5390,1,0,0,1,0
115,469,1,0,0,0,1
41,4466,1,1,0,0,0
266,6590,1,0,0,0,1
264,2155,1,0,0,1,0
221,4135,1,0,0,0,1
270,2693,1,1,0,0,0
50,4484,1,1,0,0,0
326,457,1,0,0,1,0
185,4579,1,0,0,0,1
41,4070,1,1,0,0,0
316,4613,1,0,0,1,0
26,4973,1,0,0,0,1
171,2177,1,0,0,1,0
200,4970,1,1,0,0,0
143,145,1,0,0,0,1
125,250,1,0,0,1,0
171,3019,1,1,0,0,0
223,1408,1,1,0,0,0
262,4174,1,1,0,0,0
305,2545,1,0,0,0,1
249,2662,1,1,0,0,0
52,5800,1,0,0,0,1
258,4110,1,1,0,0,0
109,5334,1,0,0,0,1
92,6250,1,1,0,0,0
221,1851,1,1,0,0,0
284,611,1,0,1,0,0
48,706,1,0,0,0,1
13,3998,1,0,1,0,0
284,44,1,1,0,0,0
149,1235,1,0,0,1,0
264,137,1,0,0,1,0
306,1880,1,1,0,0,0
224,5520,1,1,0,0,0
331,2530,1,0,0,1,0
284,1352,1,0,0,1,0
167,569,1,0,0,0,1
222,5046,1,1,0,0,0
156,4114,1,0,1,0,0
131,5542,1,1,0,0,0
328,1222,1,0,1,0,0
15,3409,1,0,0,1,0
164,85,1,0,0,1,0
258,321,1,0,0,1,0
233,559,1,0,1,0,0
43,189,1,1,0,0,0
6,3354,1,0,0,0,1
222,2882,1,1,0,0,0
202,4527,1,0,0,0,1
36,863,1,1,0,0,0
204,2840,1,0,0,1,0
258,5431,1,1,0,0,0
240,54,1,0,1,0,0
236,7079,1,0,0,1,0
316,5344,1,0,0,1,0
62,4696,1,1,0,0,0
29,441,1,1,0,0,0
16,389,1,0,0,0,1
252,6860,1,0,0,0,1
286,1637,1,0,0,1,0
48,703,1,0,1,0,0
149,2807,1,0,1,0,0
244,614,1,1,0,0,0
20,4823,1,0,1,0,0
82,458,1,0,1,0,0
270,1622,1,0,0,0,1
42,677,1,0,0,0,1
249,240,1,0,0,0,1
143,4433,1,1,0,0,0
244,1634,1,0,1,0,0
297,811,1,0,1,0,0
294,660,1,1,0,0,0
243,1675,1,0,0,1,0
309,5214,1,1,0,0,0
22,6037,1,0,0,1,0
30,1665,1,0,0,0,1
54,387,1,0,0,1,0
303,5209,1,0,0,0,1
18,5278,1,0,1,0,0
16,68,1,0,0,0,1
32,3129,1,0,1,0,0
143,876,1,0,1,0,0
249,386,1,0,1,0,0
32,358,1,0,0,1,0
146,1025,1,1,0,0,0
200,1157,1,0,1,0,0
200,4387,1,0,0,0,1
59,4227,1,1,0,0,0
213,918,1,0,0,0,1
149,5053,1,0,0,0,1
198,4451,1,0,0,1,0
128,1486,1,0,0,0,1
278,3847,1,1,0,0,0
316,2790,1,0,0,1,0
20,4573,1,0,0,0,1
19,878,1,0,0,1,0
192,56,1,0,1,0,0
43,51,1,0,1,0,0
18,2240,1,1,0,0,0
258,3524,1,1,0,0,0
26,424,1,0,1,0,0
43,4692,1,1,0,0,0
286,1387,1,0,0,0,1
129,1641,1,0,0,0,1
119,1074,1,0,0,1,0
182,5567,1,0,0,1,0
285,6113,1,0,0,0,1
163,1864,1,0,1,0,0
288,4611,1,1,0,0,0
229,4787,1,0,1,0,0
115,3570,1,0,1,0,0
22,3875,1,0,0,1,0
240,1,1,1,0,0,0
250,370,1,0,0,1,0
288,3439,1,1,0,0,0
316,3045,1,1,0,0,0
326,4369,1,0,0,0,1
172,5365,1,0,0,1,0
263,1242,1,0,0,0,1
328,5432,1,0,1,0,0
15,2760,1,0,0,1,0
272,2101,1,0,0,0,1
198,518,1,0,0,1,0
263,4722,1,0,0,0,1
263,1972,1,1,0,0,0
241,4792,1,0,0,1,0
270,2357,1,0,0,0,1
270,1768,1,0,0,1,0
241,5381,1,1,0,0,0
18,2636,1,0,1,0,0
225,4526,1,0,0,0,1
18,4543,1,0,1,0,0
97,1557,1,0,0,0,1
305,3130,1,1,0,0,0
18,5132,1,1,0,0,0
165,1385,1,0,0,0,1
88,1287,1,1,0,0,0
39,2864,1,0,1,0,0
256,2795,1,0,0,1,0
57,908,1,0,0,0,1
26,2729,1,0,0,0,1
6,2429,1,0,1,0,0
231,1837,1,0,0,1,0
39,6203,1,1,0,0,0
284,48,1,1,0,0,0
193,4405,1,0,1,0,0
17,5209,1,0,1,0,0
62,2393,1,0,0,1,0
171,3499,1,1,0,0,0
96,3533,1,1,0,0,0
101,2153,1,0,0,0,1
154,6251,1,0,0,0,1
305,5183,1,0,0,1,0
328,1226,1,0,0,1,0
249,6141,1,0,0,1,0
30,237,1,0,0,0,1
258,7000,1,1,0,0,0
30,4557,1,0,0,0,1
109,288,1,1,0,0,0
204,5090,1,1,0,0,0
83,5309,1,0,0,1,0
141,755,1,0,1,0,0
247,6251,1,0,0,1,0
33,5943,1,0,0,1,0
129,2372,1,0,0,1,0
64,1237,1,0,0,1,0
309,3787,1,1,0,0,0
148,2230,1,0,1,0,0
222,2405,1,0,1,0,0
176,6095,1,0,0,1,0
223,6543,1,0,0,0,1
192,4816,1,0,0,1,0
228,399,1,0,0,0,1
125,6321,1,0,0,1,0
223,4386,1,0,0,1,0
29,2885,1,0,1,0,0
77,762,1,0,1,0,0
47,1269,1,0,0,1,0
233,1473,1,0,1,0,0
183,3561,1,0,1,0,0
82,6300,1,0,1,0,0
177,1593,1,1,0,0,0
154,5079,1,0,0,0,1
277,671,1,0,1,0,0
276,4295,1,0,0,0,1
130,674,1,0,0,0,1
186,6666,1,1,0,0,0
309,105,1,0,1,0,0
178,232,1,0,0,1,0
251,524,1,0,0,1,0
